schemaname,relname,n_live_tup
public,mdl_qtype_match_subquestions,0
public,mdl_workshopform_numerrors_map,0
public,mdl_chat_messages,0
public,mdl_question_response_count,0
public,mdl_message_processors,0
public,mdl_question_attempt_steps,0
public,mdl_mnet_rpc,0
public,mdl_user_devices,0
public,mdl_comments,0
public,mdl_tag,0
public,mdl_survey_analysis,0
public,mdl_workshop_submissions_old,0
public,mdl_grade_outcomes,0
public,mdl_repository,0
public,mdl_user_info_category,0
public,mdl_competency_coursecompsetting,0
public,mdl_feedback_completed,0
public,mdl_scorm_aicc_session,0
public,mdl_role,0
public,mdl_stats_monthly,0
public,mdl_config,0
public,mdl_enrol_flatfile,0
public,mdl_question_calculated_options,0
public,mdl_badge_external,0
public,mdl_chat,0
public,mdl_resource_old,0
public,mdl_question_attempts,0
public,mdl_badge_criteria_met,0
public,mdl_qtype_randomsamatch_options,0
public,mdl_forum_discussion_subs,0
public,mdl_portfolio_tempdata,0
public,mdl_glossary_categories,0
public,mdl_quiz_grades,0
public,mdl_qtype_ddimageortext,0
public,mdl_tag_area,0
public,mdl_question_usages,0
public,mdl_tool_recyclebin_category,0
public,mdl_feedback_item,0
public,mdl_groupings,0
public,mdl_mnet_application,0
public,mdl_data_records,0
public,mdl_task_scheduled,0
public,mdl_user_info_data,0
public,mdl_cohort,0
public,mdl_survey_answers,0
public,mdl_question_numerical_options,0
public,mdl_mnet_service,0
public,mdl_competency_userevidence,0
public,mdl_backup_logs,0
public,mdl_workshopform_comments,0
public,mdl_message_providers,0
public,mdl_block,0
public,mdl_portfolio_instance_user,0
public,mdl_badge,0
public,mdl_block_rss_client,0
public,mdl_portfolio_instance,0
public,mdl_workshopform_rubric,0
public,mdl_grade_outcomes_history,0
public,mdl_wiki_locks,0
public,mdl_tool_usertours_steps,0
public,mdl_lesson_grades,0
public,mdl_events_queue,0
public,mdl_scorm_scoes_data,0
public,mdl_quiz_statistics,0
public,mdl_workshopform_rubric_levels,0
public,mdl_competency_usercompcourse,0
public,mdl_chat_users,0
public,mdl_tool_customlang,0
public,mdl_event_subscriptions,0
public,mdl_lti_types,0
public,mdl_competency_evidence,0
public,mdl_course_categories,0
public,mdl_course_completion_crit_compl,0
public,mdl_tag_instance,0
public,mdl_message_popup,0
public,mdl_feedback_template,0
public,mdl_workshop_grades,0
public,mdl_enrol_lti_lti2_user_result,0
public,mdl_qtype_ddmarker_drops,0
public,mdl_config_plugins,0
public,mdl_forum_queue,0
public,mdl_mnet_log,0
public,mdl_lesson_attempts,0
public,mdl_enrol_lti_lti2_resource_link,0
public,mdl_glossary_entries,0
public,mdl_course_completions,0
public,mdl_competency_framework,0
public,mdl_forum_posts,0
public,mdl_quiz_sections,0
public,mdl_scorm_seq_ruleconds,0
public,mdl_badge_criteria,0
public,mdl_question_gapselect,0
public,mdl_scorm_seq_rolluprule,0
public,mdl_stats_user_monthly,0
public,mdl_cohort_members,0
public,mdl_wiki_subwikis,0
public,mdl_workshop_assessments_old,0
public,mdl_question_hints,0
public,mdl_upgrade_log,0
public,mdl_external_tokens,0
public,mdl_survey_questions,0
public,mdl_stats_user_daily,0
public,mdl_feedback_valuetmp,0
public,mdl_scale_history,0
public,mdl_url,0
public,mdl_choice_answers,0
public,mdl_lesson_timer,0
public,mdl_scorm_scoes,0
public,mdl_profiling,0
public,mdl_course_published,0
public,mdl_chat_messages_current,0
public,mdl_messageinbound_handlers,0
public,mdl_forum_discussions,0
public,mdl_workshop_aggregations,0
public,mdl_book,0
public,mdl_lti,0
public,mdl_role_sortorder,0
public,mdl_competency_templatecohort,0
public,mdl_message,0
public,mdl_repository_instances,0
public,mdl_tag_coll,0
public,mdl_competency_coursecomp,0
public,mdl_enrol_lti_lti2_nonce,0
public,mdl_block_community,0
public,mdl_course_completion_criteria,0
public,mdl_role_capabilities,0
public,mdl_data,0
public,mdl_workshop,0
public,mdl_quiz_overrides,0
public,mdl_question_truefalse,0
public,mdl_filter_active,0
public,mdl_lesson_answers,0
public,mdl_competency_plan,0
public,mdl_context_temp,0
public,mdl_qtype_ddimageortext_drops,0
public,mdl_feedback_sitecourse_map,0
public,mdl_lti_submission,0
public,mdl_mnet_host,0
public,mdl_mnet_sso_access_control,0
public,mdl_assign_overrides,0
public,mdl_workshop_rubrics_old,0
public,mdl_assignsubmission_file,0
public,mdl_stats_user_weekly,0
public,mdl_log,0
public,mdl_workshop_comments_old,0
public,mdl_user_password_history,0
public,mdl_feedback_completedtmp,0
public,mdl_wiki_versions,0
public,mdl_files_reference,0
public,mdl_wiki,0
public,mdl_question_attempt_step_data,0
public,mdl_assignfeedback_editpdf_annot,0
public,mdl_lesson_pages,0
public,mdl_backup_courses,0
public,mdl_lti_tool_settings,0
public,mdl_workshopeval_best_settings,0
public,mdl_qtype_essay_options,0
public,mdl_workshop_elements_old,0
public,mdl_question_ddwtos,0
public,mdl_competency_relatedcomp,0
public,mdl_question_categories,0
public,mdl_lti_tool_proxies,0
public,mdl_data_fields,0
public,mdl_qtype_ddmarker_drags,0
public,mdl_assignfeedback_editpdf_cmnt,0
